Genere,Categoria,Nome,Prezzo_effettivo,Prezzo_originario,Colore,Taglia
Donna,Stivali_stivaletti,Stivaletti in pelle traforata,89.9,89.9,"['Nero', 'Tan']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletti da donna,69.9,69.9,['Tan'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Mule modello Western da Donna BATA,59.9,59.9,['Beige'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivali Western in suede da Donna BATA,120.0,120.0,['Marrone'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletto texano da donna in suede BATA,89.9,89.9,['Marrone'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletti Western in suede da Donna BATA,99.9,99.9,['Tan'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Mule Western con tacco da Donna BATA,59.9,59.9,['Nero'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletti Western Donna BATA,79.9,79.9,"['Marrone', 'Blu']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletti da Donna BATA con zeppa interna,99.9,99.9,['Marrone'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivale da donna Bata Red Label,79.9,79.9,"['Nero', 'Tan']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Ankle boot da donna con tacco BATA,69.99,69.99,['Nero'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivale da donna Bata Red Label,79.99,79.99,['Marrone'],"[35.0, 36.0, 37.0, 38.0]"
Donna,Stivali_stivaletti,Stivali Western in suede da Donna BATA,120.0,120.0,['Tan'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivali Western in pelle da donna BATA,120.0,120.0,['Nero'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletti da donna BATA con zeppa interna,59.9,59.9,['Tan'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Ankle boot da donna in pelle con brogue,79.99,79.99,"['Nero', 'Marrone']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Anfibi da donna in pelle,99.99,99.99,['Nero'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Texano da donna con tacco e punta con stampa pitone Bata Red Label,69.9,69.9,['Nero'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Cuffed boot da donna con tacco e dettagli stampa pitone Bata Red Label,79.9,79.9,['Nero'],"[36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletto da donna in pelle,89.99,89.99,"['Nero', 'Marrone']","[36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,"Stivali texani da donna con tacco 3,5 cm",79.99,79.99,['Nero'],"[36.0, 37.0, 38.0]"
Donna,Stivali_stivaletti,Stivaletti da donna in pelle con lacci e zip,99.99,99.99,['Nero'],"[36.0, 37.0, 40.0]"
Donna,Stivali_stivaletti,Anfibi da donna con zip laterale,99.99,99.99,['Nero'],"[36.0, 37.0, 38.0, 40.0]"
Donna,Stivali_stivaletti,Stivaletti da donna,39.99,39.99,"['Verde', 'Animalier', 'Nero Opaco']","[36.0, 37.0, 38.0, 39.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletti da donna,39.99,39.99,"['Verde', 'Animalier', 'Nero Opaco']","[36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletti in pelle traforata con tacco,89.9,89.9,"['Nero', 'Tan']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,stivali al ginocchio,79.99,79.99,['Nero'],"[36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivali Western da Donna BATA,99.9,99.9,['Nero'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivali Western in suede da Donna BATA,120.0,120.0,['Tan'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletti Western da Donna BATA,79.9,79.9,['Beige'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletti Western da Donna in suede BATA,89.9,89.9,['Tan'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletti Western Donna BATA,79.9,79.9,"['Marrone', 'Blu']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Ciabatte donna UGG Tazz Platform,130.0,130.0,['Beige'],"[36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletto da donna UGG CLASSIC MINI SAND,189.0,189.0,['Beige'],"[36.0, 37.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletti da donna con inserto in cavallino,130.0,130.0,"['Nero', 'Marrone']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletti da donna in suede con cinturino animalier,130.0,130.0,"['Nero', 'Marrone']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletti da donna con inserto in cavallino,130.0,130.0,"['Nero', 'Marrone']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Stivaletti da donna in suede con cinturino animalier,130.0,130.0,"['Nero', 'Marrone']","[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Ankle boot da donna in pelle con brogue,79.99,79.99,"['Nero', 'Marrone']","[36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
Donna,Stivali_stivaletti,Ankle boot da donna con stampa pitone e tacco alto Bata Red Label,69.9,69.9,['Beige'],"[35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0]"
